DATETIME,X,Y,Z
115710889,0.60,0.08,9.74
115710890,0.45,-0.03,9.78
115710892,0.65,-0.02,9.64
115710893,0.79,0.10,9.65
115710893,0.48,0.09,9.76
115710895,0.51,0.01,9.75
115710896,0.67,0.00,9.77
115710897,0.85,0.11,9.67
115710897,0.64,0.08,9.66
115710899,0.44,0.01,9.63
115710900,0.55,0.03,9.64
115710902,0.72,0.03,9.69
115710902,0.77,0.11,9.69
115710903,0.60,0.06,9.69
115710905,0.44,-0.03,9.67
115710907,0.79,0.07,9.64
115710907,0.76,0.14,9.69
115710909,0.53,0.01,9.75
115710909,0.49,-0.03,9.70
115710911,0.63,0.03,9.72
115710911,0.79,0.08,9.73
115710913,0.68,0.11,9.73
115710914,0.47,0.03,9.70
115710915,0.48,-0.05,9.67
115710915,0.72,0.03,9.66
115710917,0.78,0.08,9.71
115710917,0.62,0.07,9.78
115710919,0.57,-0.06,9.75
115710919,0.83,0.05,9.75
115710921,0.80,0.17,9.79
115710921,0.58,0.10,9.72
115710924,0.46,0.04,9.64
115710924,0.65,0.05,9.68
115710926,0.79,0.13,9.65
115710926,0.75,0.13,9.66
115710928,0.50,0.02,9.74
115710929,0.48,-0.06,9.68
115710930,0.68,0.02,9.73
115710931,0.68,0.16,9.79
115710932,0.44,0.07,9.72
115710932,0.55,0.01,9.72
115710934,0.72,0.05,9.64
115710934,0.77,0.12,9.71
115710937,0.62,0.14,9.73
115710937,0.46,0.05,9.67
115710939,0.59,0.03,9.57
115710939,0.79,0.11,9.65
115710941,0.78,0.17,9.75
115710942,0.57,0.13,9.75
115710943,0.62,0.01,9.77
115710943,0.76,0.13,9.69
115710945,0.69,0.09,9.67
115710945,0.50,0.00,9.66
115710947,0.52,-0.04,9.70
115710947,0.78,0.02,9.67
115710950,0.85,0.14,9.72
115710950,0.66,0.10,9.61
115710952,0.46,0.04,9.68
115710952,0.58,0.04,9.62
115710954,0.76,0.13,9.64
115710955,0.77,0.13,9.76
115710956,0.46,-0.01,9.72
115710956,0.63,0.04,9.74
115710958,0.79,0.09,9.74
115710959,0.74,0.12,9.72
115710960,0.52,0.04,9.68
115710960,0.45,0.03,9.75
115710962,0.71,0.08,9.71
115710963,0.86,0.14,9.62
115710964,0.72,0.16,9.74
115710964,0.46,0.09,9.69
115710967,0.46,0.01,9.69
115710968,0.85,0.13,9.73
115710969,0.65,0.11,9.76
115710969,0.50,0.00,9.66
115710971,0.61,-0.00,9.64
115710971,0.79,0.09,9.66
115710973,0.74,0.13,9.75
115710973,0.57,0.04,9.81
115710976,0.50,0.01,9.82
115710976,0.67,0.00,9.68
115710978,0.87,0.11,9.67
115710978,0.80,0.11,9.70
115710980,0.52,-0.06,9.65
115710980,0.74,0.06,9.64
115710982,0.85,0.13,9.68
115710982,0.62,0.08,9.71
115710984,0.41,-0.03,9.71
115710986,0.47,-0.02,9.71
115710986,0.74,0.07,9.72
115710989,0.79,0.13,9.74
115710989,0.54,0.07,9.68
115710990,0.41,-0.04,9.69
115710990,0.61,-0.01,9.65
115710992,0.74,0.10,9.62
115710992,0.57,0.06,9.61
115710995,0.56,-0.01,9.67
115710995,0.71,0.00,9.62
115710996,0.82,0.08,9.50
115710997,0.71,0.04,9.43
115710998,0.54,-0.02,9.49
115710999,0.57,-0.11,9.65
115711001,0.70,-0.09,9.68
115711002,0.78,0.04,9.77
115711004,0.44,0.05,9.74
115711004,0.50,0.13,9.74
115711006,0.74,0.17,9.73
115711006,0.73,0.26,9.58
115711008,0.52,0.13,9.62
115711008,0.45,0.00,9.60
115711010,0.64,-0.03,9.61
115711010,0.83,0.05,9.76
115711012,0.80,-0.01,9.79
115711012,0.54,-0.04,9.67
115711014,0.49,-0.13,9.75
115711014,0.83,0.10,9.73
115711016,0.64,0.10,9.73
115711016,0.46,0.04,9.75
115711019,0.54,0.01,9.74
115711019,0.74,0.11,9.78
115711021,0.76,0.15,9.73
115711021,0.62,0.11,9.67
115711023,0.47,0.00,9.77
115711023,0.67,-0.00,9.81
115711025,0.84,0.07,9.78
115711025,0.73,0.15,9.80
115711027,0.51,0.03,9.74
115711027,0.68,0.01,9.73
115711029,0.84,0.14,9.81
115711029,0.72,0.17,9.79
115711032,0.44,0.04,9.69
115711032,0.49,0.08,9.64
115711034,0.70,0.07,9.75
115711034,0.80,0.11,9.78
115711036,0.57,0.14,9.76
115711036,0.41,0.03,9.69
115711038,0.58,-0.02,9.75
115711038,0.75,0.05,9.72
115711040,0.53,0.02,9.66
115711040,0.41,-0.02,9.66
115711043,0.60,0.05,9.73
115711043,0.81,0.06,9.71
115711045,0.70,0.14,9.71
115711045,0.45,0.06,9.74
115711047,0.47,0.02,9.73
115711047,0.70,0.09,9.70
115711049,0.84,0.10,9.75
115711049,0.69,0.07,9.73
115711051,0.54,0.02,9.66
115711051,0.85,0.01,9.67
115711053,0.87,0.11,9.67
115711053,0.62,0.07,9.76
115711055,0.48,0.07,9.65
115711055,0.65,0.02,9.68
115711057,0.88,0.09,9.63
115711058,0.79,0.14,9.66
115711059,0.52,0.02,9.64
115711059,0.46,-0.06,9.66
115711061,0.68,-0.03,9.61
115711063,0.81,0.09,9.65
115711063,0.46,-0.01,9.65
115711065,0.49,-0.02,9.62
115711065,0.72,0.03,9.61
115711067,0.83,0.11,9.66
115711067,0.67,0.11,9.67
115711070,0.49,-0.02,9.67
115711070,0.58,-0.05,9.65
115711072,0.75,0.08,9.66
115711072,0.73,0.09,9.80
115711074,0.54,0.06,9.78
115711074,0.46,0.05,9.62
115711076,0.83,0.06,9.84
115711076,0.69,0.09,9.78
115711078,0.50,0.04,9.78
115711079,0.46,-0.05,9.84
115711080,0.68,0.03,9.76
115711080,0.79,0.18,9.67
115711083,0.62,0.10,9.70
115711084,0.45,0.01,9.78
115711085,0.56,-0.02,9.74
115711085,0.74,0.08,9.73
115711088,0.79,0.10,9.78
115711088,0.45,0.02,9.65
115711089,0.60,0.04,9.67
115711090,0.80,0.14,9.72
115711092,0.79,0.11,9.64
115711092,0.53,0.04,9.65
115711094,0.44,-0.00,9.71
115711094,0.62,0.05,9.57
115711096,0.79,0.13,9.63
115711096,0.67,0.08,9.61
115711099,0.46,0.01,9.58
115711099,0.47,-0.03,9.71
115711101,0.81,0.10,9.73
115711101,0.59,0.13,9.73
115711103,0.40,-0.05,9.77
115711103,0.50,-0.03,9.71
115711105,0.75,0.04,9.75
115711105,0.79,0.12,9.70
115711107,0.58,0.07,9.65
115711107,0.40,-0.02,9.69
115711109,0.61,0.04,9.68
115711109,0.84,0.11,9.77
115711111,0.77,0.11,9.77
115711111,0.52,-0.02,9.68
115711113,0.77,-0.01,9.72
115711113,0.82,0.13,9.71
115711115,0.68,0.10,9.74
115711115,0.51,-0.03,9.71
115711117,0.49,-0.03,9.73
115711117,0.77,0.04,9.67
115711120,0.81,0.11,9.67
115711120,0.60,0.11,9.69
115711122,0.42,-0.02,9.69
115711124,0.56,-0.03,9.66
115711124,0.79,0.14,9.74
115711126,0.55,0.07,9.76
115711126,0.50,-0.02,9.79
115711128,0.68,0.00,9.85
115711128,0.86,0.09,9.70
115711130,0.73,0.11,9.67
115711130,0.54,0.06,9.75
115711132,0.50,-0.01,9.72
115711132,0.76,0.03,9.75
115711134,0.85,0.07,9.72
115711134,0.69,0.09,9.57
115711137,0.56,0.00,9.71
115711137,0.80,0.06,9.78
115711139,0.75,0.17,9.65
115711139,0.55,0.09,9.68
115711141,0.45,-0.07,9.70
115711141,0.60,0.03,9.67
115711143,0.81,0.13,9.72
115711144,0.72,0.14,9.69
115711145,0.51,0.08,9.65
115711145,0.53,-0.02,9.68
115711147,0.69,0.05,9.68
115711148,0.71,0.11,9.70
115711149,0.52,0.02,9.68
115711149,0.52,-0.04,9.68
115711151,0.71,0.02,9.61
115711151,0.79,0.08,9.68
115711154,0.57,0.10,9.75
115711154,0.47,0.04,9.65
115711156,0.59,-0.02,9.70
115711157,0.80,0.03,9.69
115711159,0.70,0.16,9.69
115711159,0.59,0.07,9.67
115711161,0.65,0.07,9.72
115711161,0.80,0.13,9.70
115711163,0.67,0.09,9.69
115711163,0.50,0.03,9.65
115711165,0.53,0.00,9.68
115711165,0.77,-0.02,9.71
115711167,0.83,0.08,9.72
115711168,0.64,0.11,9.73
115711170,0.46,0.04,9.76
115711170,0.57,0.02,9.75
115711171,0.78,0.08,9.69
115711171,0.57,0.03,9.66
115711173,0.48,-0.03,9.76
115711173,0.65,-0.00,9.71
115711176,0.81,0.06,9.71
115711176,0.75,0.16,9.75
115711178,0.53,0.08,9.67
115711178,0.46,0.03,9.63
115711180,0.70,0.07,9.71
115711181,0.80,0.13,9.77
115711183,0.68,0.15,9.80
115711183,0.49,0.02,9.65
115711185,0.69,0.04,9.73
115711185,0.85,0.14,9.78
115711187,0.65,0.08,9.76
115711187,0.48,-0.04,9.71
115711189,0.61,0.02,9.71
115711189,0.79,0.12,9.72
115711191,0.74,0.13,9.71
115711191,0.55,0.08,9.77
115711193,0.49,0.00,9.76
115711193,0.70,-0.03,9.69
115711195,0.87,0.06,9.73
115711195,0.80,0.05,9.73
115711197,0.43,-0.05,9.60
115711198,0.65,0.03,9.73
115711200,0.78,0.15,9.66
115711200,0.55,0.07,9.59
115711202,0.43,0.01,9.66
115711202,0.56,0.00,9.69
