DATETIME,X,Y,Z
154958195, -0.15,0.10,10.08
154958198, 0.17,0.06,10.24
154958198, 0.43,-0.16,10.41
154958201, 0.29,-0.65,10.42
154958203, -0.31,-0.45,9.86
154958206, -0.47,-0.19,9.84
154958209, -0.28,0.04,9.93
154958209, 0.30,0.01,10.34
154958212, 0.46,-0.30,10.46
154958214, 0.45,-0.59,10.38
154958218, 0.17,-0.68,10.21
154958220, -0.13,-0.51,10.10
154958223, -0.41,-0.15,9.89
154958223, -0.25,0.06,9.98
154958226, 0.40,-0.20,10.36
154958228, 0.51,-0.48,10.44
154958231, 0.07,-0.67,10.19
154958234, -0.19,-0.51,9.97
154958234, -0.37,-0.28,9.79
154958238, -0.32,-0.01,9.89
154958240, -0.14,0.03,10.07
154958242, 0.39,-0.23,10.44
154958245, 0.41,-0.47,10.46
154958245, 0.21,-0.62,10.34
154958248, -0.39,-0.42,9.90
154958251, -0.24,0.11,9.97
154958253, 0.04,0.06,10.21
154958256, 0.34,-0.06,10.35
154958256, 0.47,-0.34,10.42
154958259, 0.48,-0.55,10.40
154958262, -0.08,-0.56,10.07
154958265, -0.35,-0.37,9.84
154958268, -0.41,-0.08,9.89
154958270, 0.15,0.07,10.27
154958270, 0.45,-0.45,10.52
154958273, 0.36,-0.64,10.34
154958276, 0.06,-0.65,10.09
154958278, -0.22,-0.52,9.93
154958281, -0.45,-0.33,9.92
154958281, -0.09,0.05,10.10
154958284, 0.21,0.02,10.28
154958287, 0.44,-0.23,10.31
154958289, 0.45,-0.46,10.37
154958292, -0.37,-0.39,9.94
154958293, -0.43,-0.15,9.83
154958295, -0.30,0.09,9.89
154958298, 0.06,0.07,10.17
154958301, 0.34,-0.07,10.36
154958303, 0.49,-0.35,10.37
154958303, 0.14,-0.71,10.15
154958306, -0.11,-0.57,9.98
154958309, -0.34,-0.42,10.00
154958312, -0.43,-0.14,9.97
154958314, 0.40,-0.15,10.40
154958318, 0.47,-0.45,10.37
154958318, 0.32,-0.64,10.40
154958321, -0.04,-0.67,10.22
154958323, -0.27,-0.44,9.98
154958326, -0.36,0.02,9.87
154958328, -0.07,0.07,10.03
154958328, 0.27,0.05,10.30
154958332, 0.47,-0.23,10.38
154958334, 0.47,-0.51,10.36
154958337, -0.34,-0.38,10.00
154958339, -0.42,-0.17,9.87
154958339, -0.27,0.02,9.92
154958342, 0.06,0.04,10.13
154958346, 0.47,-0.34,10.36
154958349, 0.36,-0.51,10.41
154958351, 0.10,-0.63,10.30
154958351, -0.18,-0.56,10.05
154958354, -0.37,-0.36,9.89
154958357, 0.23,0.00,10.27
154958359, 0.43,-0.22,10.37
154958362, 0.46,-0.49,10.49
154958364, 0.28,-0.64,10.35
154958365, -0.31,-0.51,9.97
154958368, -0.37,-0.34,9.97
154958371, -0.30,-0.00,9.95
154958373, -0.07,0.11,10.13
154958376, 0.28,0.01,10.29
154958376, 0.48,-0.49,10.37
154958379, -0.17,-0.52,10.09
154958382, -0.41,-0.40,9.95
154958385, -0.43,-0.08,9.90
154958387, 0.06,0.09,10.16
154958387, 0.39,-0.09,10.37
154958390, 0.48,-0.36,10.44
154958393, 0.36,-0.62,10.35
154958396, 0.03,-0.71,10.12
154958399, -0.42,-0.35,9.84
154958399, -0.07,0.06,10.07
154958401, 0.24,0.04,10.26
154958403, 0.43,-0.23,10.41
154958406, 0.32,-0.64,10.35
154958409, -0.01,-0.66,10.11
154958412, -0.28,-0.46,9.94
154958412, -0.41,-0.22,9.93
154958414, -0.31,0.03,9.97
154958418, 0.26,-0.05,10.30
154958420, 0.42,-0.32,10.37
154958423, 0.14,-0.70,10.19
154958423, -0.17,-0.60,10.01
154958426, -0.37,-0.11,9.88
154958428, -0.20,0.08,10.01
154958432, 0.13,0.08,10.20
154958435, 0.41,-0.16,10.34
154958435, 0.50,-0.41,10.40
154958437, 0.38,-0.59,10.40
154958440, -0.17,-0.52,10.00
154958442, -0.41,-0.31,9.87
154958445, -0.05,0.07,10.01
154958448, 0.28,0.02,10.26
154958448, 0.57,-0.43,10.45
154958451, 0.33,-0.60,10.34
